ID;Tipo;ROL;NOMBRE;RUT;DIRECCION;CODIGO_SII;ACTIVIDAD;FECHA_INGR;POINT_X;POINT_Y
16;INDUSTRIAL;1-000100;RAMIREZ Y VEJAR CIA LTDA;77365860-9;CAUPOLICAN 560;960200,000000;PELUQUERIA;01/07/19;-73,05142200000;-36,82614400000
17;INDUSTRIAL;1-000102;AVENDAÑO NAVARRETE RODRIGO AUGUSTO;;MAIPU 470;151200,000000;REP.ARTS.CUERO;01/07/1900;-73,05378660000;-36,82548330000
18;INDUSTRIAL;1-000105;PONCE SALAZAR ALFONSO FIXTO;;MAIPU 872;952200,000000;SERV TECNICO;01/07/1900;-73,04901810000;-36,82349420000
19;INDUSTRIAL;1-000130;RODRIGUEZ YANEZ SONIA    ELIZABET;;RENGO 578;960200,000000;SALON DE BELLEZA;01/07/1900;-73,05281810000;-36,82655750000
20;INDUSTRIAL;1-000140;ARÉVALO PARRA AMADOR GREGORIO;;TUCAPEL 1137;952200,000000;T.REPAR.ELECTRICAS;01/07/19;-73,05036170000;-36,81836960000
21;INDUSTRIAL;1-000146;LAVANDEIRA BELLO EDUARDO;;ANIBAL PINTO  290;952900,000000;T JOYERIA;01/07/1900;-73,04831320000;-36,82851690000
22;INDUSTRIAL;1-000148;SUC.PABLO LIZARRAGUE MELLA MELLA;53098230-0;GALERIA ALESSANDRI  22;952900,000000;T RELOJERIA;;-73,06056340000;-36,77823460000
23;INDUSTRIAL;1-000156;SOCIEDAD MAESTRANZA ARBAL LIMITADA;77924970-0;INDEPENDENCIA 2475;281900,000000;T.MECANICA PREC;;-73,05644420000;-36,80456790000
24;INDUSTRIAL;1-000175;MONTT MEDINA JAIME ALBERTO;;RENGO 1586;452002,000000;MECANICA RADIADORES;01/07/1900;-73,05904390000;-36,81644560000
25;INDUSTRIAL;1-000184;MUÑOZ INZUNZA HUGO ALFONSO;;GALERIA ALESSANDRI;952900,000000;CERRAJERIA;01/07/1900;-73,04940540000;-36,82682480000
26;INDUSTRIAL;1-000187;NEIRA CASTILLO LUIS ARMANDO;;BRICEÑO 2466;452002,000000;TALLER DE RESORTES;01/07/190;-73,07401070000;-36,81539740000
27;INDUSTRIAL;1-000197;MEZA LABRANA LUIS;;RENGO 578;952900,000000;T. RELOJERIA;01/07/1900;-73,05281810000;-36,82655750000
28;INDUSTRIAL;1-000210;PARDO PÉREZ JUAN ANTONIO;;PASAJE ZULAICA  638;452002,000000;T MECANICO;01/07/190;-73,05805540000;-36,81471890000
29;INDUSTRIAL;1-000213;C0MERCIAL ASSUAN LIMITADA;76696860-0;ANIBAL PINTO  666;107100,000000;FABRICA DE HELADOS;;-73,05085040000;-36,82465990000
30;INDUSTRIAL;1-000230;LUCIO O.ALTAMIRANO OLAVARRIA Y CIA LTDA;77866680-4;OROMPELLO 714;952900,000000;SERV TECNICO;;-73,04613350000;-36,82192280000
31;INDUSTRIAL;1-000243;RODRÍGUEZ SANHUEZA JOSÉ INALDI;;SERRANO 1024;452002,000000;CARGA BATERIAS;01/07/1900;-73,06073580000;-36,82410130000
32;INDUSTRIAL;1-000244;HUGO ROGGENDORF Y COMPAÑÍA LIMITADA;83979300-6;LOS CARRERA  1985;107100,000000;FABRICA DE PASTE;;-73,03589270000;-36,81628800000
33;INDUSTRIAL;1-000248;CONFECCIONES SABA LTDA.;81585200-1;MAIPU 847;141001,000000;FCA ROPAS;01/07/1900;-73,04940250000;-36,82344870000
34;INDUSTRIAL;1-000269;DURAN DONOSO JUAN NESTOR;;LAS HERAS  2085;101020,000000;FABRICA DE CECINAS;01/07/1900;-73,03542430000;-36,81483210000
35;INDUSTRIAL;1-000270;SEPULVEDA Y UGARTE LIMITADA;78490790-2;SALAS   574;952200,000000;T REP ARTEFACTOS;01/07;-73,05655550000;-36,82812810000
36;INDUSTRIAL;1-000282;LABORATORIO PASTEUR S. A.;87674400-7;SERRANO 568;210000,000000;LABORATORIO;01/07/1900;-73,05763730000;-36,82876300000
37;INDUSTRIAL;1-000295;FUNERALES URRUTIA LIMITADA;78070880-8;GALVARINO 301;310001,000000;SERVICIOS FUNERARIOS;;-73,03747230000;-36,82353620000
38;INDUSTRIAL;1-000313;CABRERA RIQUELME EXEQUIEL;;CAMILO HENRIQUEZ  267;452002,000000;TALLER MECANICO;;-73,03684970000;-36,81202550000
39;INDUSTRIAL;1-000317;ESCALONA MUNOZ ARTEMIO;;CARRIEL SUR   1886;960200,000000;PELUQUERIA;01/07/1900;-73,04535340000;-36,80633920000
40;INDUSTRIAL;1-000322;JEREZ RIFFO GABRIEL JORGE;;BRASIL 1148;161000,000000;BARRACA MADERAS;01/07/1900;-73,05225400000;-36,81169900000
41;INDUSTRIAL;1-000330;GARRIDO MANRÍQUEZ NURIA;;SAN MARTIN  623;960200,000000;SALON DE BELLEZA;01/01/1992;-73,04970530000;-36,82866560000
42;INDUSTRIAL;1-000367;ESCOBAR ARRIAGADA EDITH DE LAS NIEVES;;CHACABUCO 701;960200,000000;SALON DE BELLEZA;0;-73,04740080000;-36,83005220000
43;INDUSTRIAL;1-000382;FERNANDEZ FERNANDEZ AGUSTIN JOSE;;LOS ACACIOS  99;960909,000000;T.VULCANIZACION;01/07;-73,00190450000;-36,83355420000
44;INDUSTRIAL;1-000420;RODRÍGUEZ LÓPEZ MANUEL FERNANDO;;SERRANO 673;452002,000000;FCA REP BATERIAS;01/07/190;-73,05863590000;-36,82774430000
45;INDUSTRIAL;1-000438;EUGENIO NAZAR E HIJOS LIMITADA;83933900-3;FREIRE 879;960100,000000;LAVANDERIA;01/07/1900;-73,04845120000;-36,82437650000
46;INDUSTRIAL;1-000454;VEGA PINEDA MARÍA LUISA;;ANIBAL PINTO  450;952900,000000;GRABADOS RELOJES;01/07/19;-73,04887370000;-36,82623270000
47;INDUSTRIAL;1-000455;SOCIEDAD AGUILERA Y ORTEGA LIMITADA.;77385640-0;LAS HERAS  1725;952900,000000;REP EXTINGUIDORES;;-73,03973060000;-36,81656440000
48;INDUSTRIAL;1-000489;PALMA SANCHEZ FELIX;;PAICAVI 2247;310001,000000;T CARPINTERIA;01/07/1900;-73,05399780000;-36,80555300000
49;INDUSTRIAL;1-000499;COLIMA GUERRERO MANUEL GASTÓN;;LAS HERAS  84;452002,000000;T REP VEHICULOS;01/07/1900;-73,06038120000;-36,82546660000
50;INDUSTRIAL;1-000508;LAGOS RODRIGUEZ OMAR ENRIQUE;;PRIETO 595;452002,000000;SERVICIOS DE REPARACION DE LLANTAS DE ALUMINIO,;;-73,05651010000;-36,81872660000
51;INDUSTRIAL;1-000509;LASTRA ARRIAGADA LUIS ALBERTO;;BRASIL 1088;259100,000000;TORNERIA MECANICA;01/07/1900;-73,05282820000;-36,81218510000
52;INDUSTRIAL;1-000512;VIDAL ONATE RAUL IVAN;;LOS PIBES  48;952900,000000;TALLER DE MUEBLES;01/07/1900;-73,05424950000;-36,80093670000
53;INDUSTRIAL;1-000514;CROSSAL LIMITADA;78019840-0;ARGENTINA 1049;259100,000000;T MECANICO;01/07/1900;-73,05250000000;-36,81284000000
54;INDUSTRIAL;1-000523;BUSTOS CRUCES HERNAN HUMBERTO;;FERNANDEZ VIAL  2582;452002,000000;GARAGE MECANICO;;-73,06953170000;-36,80947520000
55;INDUSTRIAL;1-000525;SOCIEDAD MAESTRANZA ARBAL LIMITADA;77924970-0;VICUÑA MACKENNA  983;452002,000000;RECTIF/REPA;;-73,05346380000;-36,81379130000
56;INDUSTRIAL;1-000535;MUNOZ GARCIA JUAN;;BARROS ARANA  971;960200,000000;PELUQUERIA;01/07/1900;-73,04686900000;-36,82455350000
57;INDUSTRIAL;1-000555;PINO BURGOS EMETERIO DE LA CRUZ;;21 DE MAYO   2467;960200,000000;PELUQUERIA;01/07/190;-73,07038260000;-36,81258520000
58;INDUSTRIAL;1-000566;INZUNZA FAÚNDEZ EULOGIO;;CAUPOLICAN 567;960200,000000;PELUQUERIA;01/07/1900;-73,05191890000;-36,82637460000
59;INDUSTRIAL;1-000567;LUCERO DIAZ NELSON ALFREDO;;JORGE MONTT  2351;452002,000000;DESARMADURIA;01/07/1900;-73,07272350000;-36,81528750000
60;INDUSTRIAL;1-000572;BRUNO FRITSCH S. A.;84807200-1;SAN MARTIN PONIENTE   37;452002,000000;T. REP DE VEHICULOS;;-73,05720960000;-36,83167140000
61;INDUSTRIAL;1-000581;DISTRIBUIDORA FURET LTDA.;85655500-3;SAN MARTIN  645;466901,000000;PRODUCTOS QUIMICOS;01/07/190;-73,04942710000;-36,82857970000
62;INDUSTRIAL;1-000583;CANDIA Y COMPAÑIA LIMITADA;78557650-0;PAICAVI 1579;952200,000000;TALLER ELECTRICO;01/;-73,04955960000;-36,81227770000
63;INDUSTRIAL;1-000597;ALARCÓN OPAZO MARA;;FERNANDEZ VIAL  2816;107100,000000;FCA EMPANADAS;01/07/1900;-73,07226660000;-36,80806500000
64;INDUSTRIAL;1-000599;HENRÍQUEZ LAGOS JAIME;;AINAVILLO 2109;952300,000000;T CALZADOS;01/07/1900;-73,04839090000;-36,80479520000
65;INDUSTRIAL;1-000602;SALDÍAS SALDÍAS JOSÉ BERNARDO;;JUAN DE DIOS RIVERA;952900,000000;T RELOJERIA;;-73,04902320000;-36,80767670000
66;INDUSTRIAL;1-000604;YANEZ ARRIAGADA LUIS ARMANDO;;ONGOLMO 1320;452002,000000;T.DESABOLLADURA/PINT;01/07/19;-73,04886460000;-36,81517560000
67;INDUSTRIAL;1-000622;SEPULVEDA TORO CEFERINO A.;;MAIPU 35;952900,000000;REP.DE MOTOSIERRAS, VENTAS POR MENOR DE ARTICULOS;;-73,05958590000;-36,82771170000
68;INDUSTRIAL;1-000629;EDUARDO COLE Y COMPAÑIIA LIMITADA;79629520-1;MARINA DE CHILE   2428;107100,000000;AMASANDERIA;;-73,06906010000;-36,81168750000
69;INDUSTRIAL;1-000667;BURGOS GOMEZ MANUEL;;BRASIL 1551;107100,000000;AMASANDERIA;01/07/1900;-73,04683400000;-36,80950080000
70;INDUSTRIAL;1-000683;FABRICA BICICLETAS OXFORD S. A.;80482100-7;TUCAPEL 608;452002,000000;SERVICIO TECNICO;0;-73,04667800000;-36,82352030000
71;INDUSTRIAL;1-000688;RIOS DELARD JORGE ENRIQUE;;21 DE MAYO 21;452002,000000;REP VEHICULOS;01/07/1900;-73,06958560000;-36,81303170000
72;INDUSTRIAL;1-000703;TORO PEREZ AMELIA DEL CARMEN;;LOS ANDES  63;107100,000000;PANADERIA;01/07/1900;-72,99071780000;-36,82353380000
73;INDUSTRIAL;1-000748;HIDALGO Y SILVA LIMITADA;76538782-5;BULNES 421;107100,000000;PANADERIA;01/07/1900;-73,05739940000;-36,82131090000
74;INDUSTRIAL;1-000758;INOSTROZA MUÑOZ JOSÉ CONCEPCIÓN;;BULNES 383;452002,000000;TALLER MECANICO, DESABOLLADURIA Y PINTURA;;-73,05788510000;-36,82181780000
75;INDUSTRIAL;1-000772;INVERSIONES NOGALES SPA;76748329-5;LAS VIOLETAS  51;107100,000000;PANADERIA;01/07/19;-73,00110040000;-36,83467320000
76;INDUSTRIAL;1-000776;SAAVEDRA JOFRE ELIRA  VIRGINIA;;CAUPOLICAN 560;960200,000000;SALON DE BELLEZA;01/07/;-73,05142200000;-36,82614400000
77;INDUSTRIAL;1-000788;RENATO SAN MARTIN Y COMPAÑIA LIMITADA;77120660-3;MAIPU 164;452002,000000;TALLER BALATAS, REPARACION AU;;-73,05796870000;-36,82723330000
78;INDUSTRIAL;1-000797;SOCIEDAD AUTOMOTRIZ Y MAESTRANZA SCUDERIA VEGA LIMITADA;77168650-8;VILUMILLA 1244;452002,000000;GA;;-73,03838320000;-36,81215790000
79;INDUSTRIAL;1-000801;ZURITA POMERI ENRIQUE BERNARDO;;BRASIL 1070;452002,000000;REP AUTOMOVILES;01/07/1900;-73,05314100000;-36,81223220000
80;INDUSTRIAL;1-000813;GAMONAL Y ROZAS LIMITADA;76175294-4;CRUZ 1111;181101,000000;IMPRENTA;01/07/1900;-73,04924990000;-36,81680430000
81;INDUSTRIAL;1-000814;GARCÍA NEIRA SANTIAGO ERNESTO;;BARROS ARANA  565;960200,000000;PELUQUERIA;01/07/19;-73,05176240000;-36,82692790000
82;INDUSTRIAL;1-000816;CISTERNA GUTIERREZ JOSE BERNARDO;;PASAJE B  8;107100,000000;PANADERIA;01/07/1900;-73,04140710000;-36,80532020000
83;INDUSTRIAL;1-000819;CARVAJAL HERNANDEZ YOCONDA DEL CARM;;PAICAVI 1579;812100,000000;T.ARTESANAL COSTURAS;0;-73,04955960000;-36,81227770000
84;INDUSTRIAL;1-000823;MUNOZ GARCIA JOSE;;BARROS ARANA  935;960200,000000;PELUQUERIA;01/07/1900;-73,04703630000;-36,82502770000
85;INDUSTRIAL;1-000830;JORGE SVERLIJ R Y COMPANIA LIMITADA;76709930-4;TUCAPEL 956;107100,000000;PANADERIA, HELADOS, PASTELER;;-73,04887150000;-36,82004260000
86;INDUSTRIAL;1-000850;LEIGH ITURRIAGA OLGA EMILIA;;O HIGGINS   882;960200,000000;SALON DE BELLEZA, PERFUMERIA;;-73,04707930000;-36,82666050000
87;INDUSTRIAL;1-000853;FOTOGRAFICA ORELLANA Y COMPANIA LIMITADA;79513570-7;ANIBAL PINTO  478;742001,000000;ESTUDIO FOTOG;;-73,04970000000;-36,82664900000
88;INDUSTRIAL;1-000858;ALEX URRA Y COMPANIA LIMI TADA;78981040-0;CRUZ 1279;952900,000000;REP ELEMENTOS MECANI;1;-73,04740790000;-36,81591320000
89;INDUSTRIAL;1-000871;COMERCIAL RUVER LIMITADA;87765000-6;SAN MARTIN  658;107100,000000;FCA MASAS Y DULCES;;-73,04911760000;-36,82866270000
90;INDUSTRIAL;1-000873;FERREIRA VALDERRAMA SEGUNDO;;ANIBAL PINTO  1662;952900,000000;T.MOTORES ESTACIONAR;;-73,05723960000;-36,81427500000
91;INDUSTRIAL;1-000876;ELGUETA MELLA SANTIAGO ENRIQUE;;GALERIA ALESSANDRI;141001,000000;CONFECCION ART.DAMAS;;-73,04940540000;-36,82682480000
92;INDUSTRIAL;1-000880;LAGOS FIGUEROA HUGO ALEJANDRO;;LAS HERAS  1553;521001,000000;FABRICA CECINAS;01/07/19;-73,04185960000;-36,81766280000
93;INDUSTRIAL;1-000886;CONCHA ARRIAGADA JACOB ERNESTO;;TUCAPEL 583;952900,000000;SERV.TEC.MAQ.TEJER;01/07/1900;-73,04677060000;-36,82396220000
94;INDUSTRIAL;1-000890;GIDI CONFECCION INDUSTRIAL LIMITADA;78115130-0;RENGO 36;141001,000000;T DE CONFECCIONES;1;-73,04905020000;-36,83234820000
95;INDUSTRIAL;1-000897;PLASTICOS CORONEL LTDA.;83400300-7;BELLISTA 2075;201300,000000;FAB.MANGAS/BOLSAS PO;01/07/1900;-73,04453470000;-36,80102090000
96;INDUSTRIAL;1-000898;OLAVE SOTO MARCO ANTONIO;;COLO COLO  954;323000,000000;T REP ARTEF P Y CAZA;01/07/1900;-73,05147090000;-36,82104750000
97;INDUSTRIAL;1-000900;ROLANDO PARRA MORA;;RENGO 578;960200,000000;SALON DE BELLEZA;01/07/1900;-73,05281810000;-36,82655750000
98;INDUSTRIAL;1-000904;MUNOZ TORRES ARTURO;;PAICAVI 1686;452002,000000;TALLER MECANICO;01/07/1900;-73,04949770000;-36,81108670000
99;INDUSTRIAL;1-000906;MARIO VEJAR E HIJOS LIMITADA;78393340-3;RENGO 1676;452002,000000;T MECANICO AUTOMOVIL;1;-73,05973560000;-36,81544350000
100;INDUSTRIAL;1-000913;GARRIDO PÉREZ RUTH MARÍA;;GALERIA CARACOL   156;960200,000000;PELUQUERIA;01/07/;-73,00611300000;-36,82357500000
101;INDUSTRIAL;1-000917;MARMOLERIA Y BRONCERIA SA NTA ROSA LIMITADA;78813800-8;ROSAMEL DEL SOLAR   251;329000,000000;;;-73,06928680000;-36,81865410000
102;INDUSTRIAL;1-000925;DIBARRART VIVALLO LUIS;;ARGENTINA 971;281700,000000;TALLER REP MAQUINAS;01/07/1900;-73,05413660000;-36,81330210000
103;INDUSTRIAL;1-000927;ARBULU MUÑOZ CLOTILDE DEL CARMEN;;PJE 18  81   VILLA 18;107100,000000;PANADERIA;;-73,04786220000;-36,82937670000
104;INDUSTRIAL;1-000937;MUNOZ GARRIDO SUSANA;;JANEQUEO    1670;107100,000000;PANADERIA;01/07/1900;-73,04825610000;-36,81065570000
105;INDUSTRIAL;1-000939;ORELLANA ROJAS ARIEL RAÚL;;ANIBAL PINTO  474;742001,000000;ARRIENDO MAQUINARIA;01/;-73,04958540000;-36,82651910000
106;INDUSTRIAL;1-000947;TAPIA FAUNDEZ MANUEL;;GALERIA ALESSANDRI   14;952900,000000;TALLER DE CERRAJERIA;;-73,06056340000;-36,77823460000
107;INDUSTRIAL;1-000968;BELTRAN CUEVAS LUIS FERNANDO;;ROZAS 933;310001,000000;T MUEBLERIA;01/07/1900;-73,05027270000;-36,81997820000
108;INDUSTRIAL;1-000975;MUÑOZ GARCÍA CARLOS ALBERTO;;BARROS ARANA  951;960200,000000;PELUQUERIA;01/07/1900;-73,04685810000;-36,82496160000
109;INDUSTRIAL;1-001024;LIZARRAGUE HECHTLE LIDIA MARGARITA;;GALERIA ALESSANDRI  42;329000,000000;T DE GRABADOS;;-73,06056340000;-36,77823460000
110;INDUSTRIAL;1-001050;MUNOZ INZUNZA HERNAN;;GALERIA ALESSANDRI;952900,000000;T DE LLAVES;01/07/1900;-73,04940540000;-36,82682480000
111;INDUSTRIAL;1-001054;MUÑOZ ORTEGA LUIS ANTONIO;;DIAGONAL ORIENTE  1999;107100,000000;PANADERIA;01/;-73,03677010000;-36,81441770000
112;INDUSTRIAL;1-001073;RODRIGUEZ LAZCANO REINERIA DEL CARMEN;;AINAVILLO 835;952300,000000;REP. CALZADO;01/07/1900;-73,03957080000;-36,81769450000
113;INDUSTRIAL;1-001075;DELGADO COLIPÚN MARCELA PAOLA;;GALERIA CARACOL   158;960200,000000;PELUQUERIA;1;-73,00689400000;-36,82383120000
114;INDUSTRIAL;1-001101;SELMAN MUÑOZ JACOB ANTONIO;;BARROS ARANA  741;952900,000000;TALLER REPAR RELOJES;0;-73,04937420000;-36,82605470000
115;INDUSTRIAL;1-001108;BOSQUES Y JARDIN RVC SPA;76277613-8;FREIRE 67;952900,000000;TALLER REPAR MOTORES;01/07/19;-73,05857120000;-36,82854200000
116;INDUSTRIAL;1-001123;BAEZA GODOY JORGE A.;;LAS HERAS  22;281900,000000;T.REP BOMBAS DE AGUA;01/07/1900;-73,06102870000;-36,82589210000
117;INDUSTRIAL;1-001130;LEOPOLD ACEVEDO JOSÉ GREGORIO;;CASTELLON 750;452002,000000;T.MECANICO INDUSTRIA;01/07/1900;-73,04883760000;-36,82268250000
118;INDUSTRIAL;1-001132;ARAVENA Y COMPANIA LIMITADA;79764950-3;CAMILO HENRIQUEZ  516;139200,000000;FABRICA DE HILADOS;;-73,03399110000;-36,80939060000
119;INDUSTRIAL;1-001139;JIMENEZ JIMENEZ VICTOR OMAR;;LAS HERAS  255;452002,000000;GARAGE MECANICO;01/07/1900;-73,05820650000;-36,82444850000
120;INDUSTRIAL;1-001142;MANTENCION Y MAESTRANZA INDUSTRIAL Y COMERCIAL;86792900-2;LAUTARO 2342;259100,000000;ESTAMP PROD MET;;-73,05151830000;-36,80355220000
121;INDUSTRIAL;1-001168;VILLA FERRETTI ANTONIO SERAFIN;;TUCAPEL 156;960200,000000;SALON DE BELLEZA;01/07/1900;-73,04377740000;-36,82827830000
122;INDUSTRIAL;1-001169;VILLEGAS VASQUEZ LUZ JUDITH;;CAMILO HENRIQUEZ  198;952900,000000;TAPICERIA AUTOMOVIL;01/0;-73,03724620000;-36,81282050000
123;INDUSTRIAL;1-001186;PLASTICOS BESSALLE LTDA.;76047525-4;BULNES 753;222000,000000;FABRICA DE PLASTICOS;01/07/;-73,05325410000;-36,81986290000
124;INDUSTRIAL;1-001190;DIMARCO SPA;78965670-3;ANIBAL PINTO  476;105000,000000;FCA. HELADOS;01/07/1900;-73,04967400000;-36,82664800000
125;INDUSTRIAL;1-001198;RODRIGO ZORZANO S.A.;89845800-8;SALAS   1340;452002,000000;SERV MECANICO DIESEL;01/07/;-73,06130350000;-36,82028980000
126;INDUSTRIAL;1-001209;SEPÚLVEDA MARTÍNEZ ALAMIRO DEL CARMEN;;ARGOMEDO 75;431200,000000;T.MARMOLERIA;01/07/1;-73,06779240000;-36,81643490000
127;INDUSTRIAL;1-001216;JARAMILLO MUNOZ GRACIELA;;CAUPOLICAN 560;960200,000000;SALON DE BELLEZA;01/07/1900;-73,05142200000;-36,82614400000
128;INDUSTRIAL;1-001218;HERMOSILLA FERNÚNDEZ NELSON HERNÚN;;RENGO 554;960200,000000;SALON DE BELLEZA;01/07/1900;-73,05264750000;-36,82682370000
129;INDUSTRIAL;1-001222;GARRIDO VALDÉS MARCOS ZABDIEL;;ANIBAL PINTO  450;281900,000000;T.REP DE MAQUINAS;0;-73,04887370000;-36,82623270000
130;INDUSTRIAL;1-001235;MATAMALA GUZMAN VIVIANA CRISTINA;;FREIRE 522;960200,000000;SALON DE BELLEZA;01/07/1900;-73,05281680000;-36,82633470000
131;INDUSTRIAL;1-001249;GAJARDO MORALES MARIA VICTORIA;;MAIPU 470;952300,000000;REP.DE CALZADOS;01/07/1900;-73,05378660000;-36,82548330000
132;INDUSTRIAL;1-001257;SOC.GESTORA,ADM.DE NEGOCI OS VALDIVIA Y MERINO;77985060-9;CRUZ 444;452002,000000;T.REP DE CULATAS;;-73,05780710000;-36,82070820000
133;INDUSTRIAL;1-001277;OPAZO Y COMPANIA LIMITADA;78891610-8;LAS HERAS  49;331209,000000;REPARACION DE MAQUINARIA Y EQUIPOS I;;-73,06079620000;-36,82556810000
134;INDUSTRIAL;1-001288;GUTIÉRREZ MORA LUIS MARIO;;ONGOLMO 1342;960909,000000;MECANICA DE PRECISIO;01/07/1900;-73,04883180000;-36,81501710000
135;INDUSTRIAL;1-001292;SOCIEDAD REGIONAL COMERCIAL LIMITADA;85312400-1;RENGO 1323;107100,000000;PANADERIA;01/07/1900;-73,05801360000;-36,81904440000
136;INDUSTRIAL;1-001297;ALARCON CACERES ELIGIO HELIOMELES;;MAIPU 1699;181101,000000;IMPRENTA;01/07/1900;-73,03881550000;-36,81903790000
137;INDUSTRIAL;1-001303;CHAVARRIA VALDOVINOS VERONICA ANDREA;;FREIRE 522;960200,000000;SALON DE BELLEZA;01/07/1900;-73,05281680000;-36,82633470000
138;INDUSTRIAL;1-001305;RECTIFICADORA MOTORCENTER  LIMITADA;76721450-2;COLO COLO  860;452002,000000;RECTIFICACION MOTORE;;-73,05078710000;-36,82198860000
139;INDUSTRIAL;1-001306;MUÑOZ NUÑEZ MARIA AVELINA;;RENGO 554;960200,000000;SALON DE BELLEZA;01/07/1900;-73,05264750000;-36,82682370000
140;INDUSTRIAL;1-001312;EMBOTELLADORA SODATAL CONCEPCION SPA;77581001-7;PRIETO 289;110401,000000;ELAB.Y EMBOT.DE SODA;;-73,06047340000;-36,82029110000
141;INDUSTRIAL;1-001335;GASTON SALDIAS NAVARRETE Y COMPAÑIA LIMITADA;78456430-4;PAICAVI 1966;952900,000000;TALLER DE LETRER;;-73,05163900000;-36,80801010000
142;INDUSTRIAL;1-001341;VERA GRANDON JOSE ISAAC;;BALMACEDA 314;107100,000000;AMASANDERIA;01/07/1900;-73,03782980000;-36,80034900000
143;INDUSTRIAL;1-001367;ELMES SANZANA TERESA;;FREIRE 522;960200,000000;PELUQUERIA;01/01/1992;-73,05281680000;-36,82633470000
144;INDUSTRIAL;1-001370;MORENO MUÑOZ CRISTIAN DARÍO;;LAUTARO 1971;952200,000000;T.MECANICO VEHICULOS;01/01/1;-73,04977500000;-36,80710560000
145;INDUSTRIAL;1-001374;OBRIST NAVARRO MANFRED OSCAR;;AV. COLLAO   82;952900,000000;T.REPARAC.DE LLANTAS;01/01/1992;-73,01612050000;-36,81861290000
146;INDUSTRIAL;1-001379;GAETE QUIJADA MARIO IGNACIO;;TUCAPEL 1970;452002,000000;T. REP. DE RESORTES;01/01/1992;-73,05553000000;-36,80915000000
147;INDUSTRIAL;1-001391;CONTRERAS MANRÍQUEZ ALFONSO ANTONIO;;RENGO 817;960200,000000;PELUQUERIA;01/07/1992;-73,05458430000;-36,82416130000
148;INDUSTRIAL;1-001423;MOLINA GONZALEZ MARIO RAUL;;COLO COLO  1151;952900,000000;SERVICIO TECNICO EN BALANZAS EQUIPOS INDU;;-73,05334210000;-36,81922790000
149;INDUSTRIAL;1-001434;IMPRESORA Y EDITORA ICARO LIMITADA;79940900-3;MARTINEZ DE ROZAS   961;181101,000000;INDUSTRIA;;-73,05009130000;-36,81954610000
